순위,소환사,티어,LP,레벨,모스트 챔피언,승률
1,"Alpha Smoker
#420",challenger,"1,992",104,"이즈리얼, 칼리스타, 애쉬","211승
151패
58%"
2,"never type
#1998",challenger,"1,965",370,"리븐, 베인, 제이스","140승
82패
63%"
3,"dmoney
#401K",challenger,"1,929",98,"파이크, 아크샨, 사일러스","241승
157패
61%"
4,"Pentaless
#penta",challenger,"1,920",515,"누누와 윌럼프, 마오카이, 스카너","205승
143패
59%"
5,"dusklol
#000",challenger,"1,840",392,"키아나, 카직스, 릴리아","169승
117패
59%"
6,"Zamudo
#1031",challenger,"1,801",130,"제이스, 갱플랭크, 피오라","124승
69패
64%"
7,"ToastyAlex
#NA1",challenger,"1,724",890,"암베사, 요네, 제이스","155승
113패
58%"
8,"Mr Dude
#00001",challenger,"1,692",482,"판테온, 렐, 바드","172승
120패
59%"
9,"Cupic
#Hwei",challenger,"1,650",547,"럭스, 흐웨이, 세라핀","138승
86패
62%"
10,"Will
#NA12",challenger,"1,639",930,"탈리야, 바이, 니달리","170승
132패
56%"
11,"ARMAO
#NA1",challenger,"1,620",440,"리 신, 볼리베어, 엘리스","278승
231패
55%"
12,"Hub1012345
#NA1",challenger,"1,594",795,"코르키, 애니비아, 이즈리얼","155승
109패
59%"
13,"blackpanther
#ruin",challenger,"1,589",111,"스카너, 자이라, 니달리","140승
92패
60%"
14,"DARKWINGS
#NA3",challenger,"1,582",658,"빅토르, 신드라, 흐웨이","177승
136패
57%"
15,"yukino cat
#cat",challenger,"1,576",775,"오공, 럼블, 바이","151승
112패
57%"
16,"C9 Loki
#kr3",challenger,"1,572",59,"사일러스, 아지르, 요네","186승
118패
61%"
17,"Sushee
#NA1",challenger,"1,568","1,284","베인, 이즈리얼, 트리스타나","240승
197패
55%"
18,"Afflictive
#藍月なくる",challenger,"1,521",498,"아크샨, 노틸러스, 소라카","146승
109패
57%"
19,"KDKD
#9999",challenger,"1,511",629,"노틸러스, 판테온, 레오나","279승
238패
54%"
20,"kisno
#NA1",challenger,"1,473",676,"판테온, 킨드레드, 그웬","248승
211패
54%"
21,"SnowyStepZ
#Saiko",challenger,"1,473",907,"트리스타나, 이즈리얼, 카이사","176승
139패
56%"
22,"perryjg
#quack",challenger,"1,459",69,"볼리베어, 자르반 4세, 비에고","122승
69패
64%"
23,"stupid donut
#YEAH",challenger,"1,450",79,"암베사, 사일러스, 이즈리얼","140승
76패
65%"
24,"Tkt
#NA33",challenger,"1,434",220,"칼리스타, 이즈리얼, 카이사","182승
128패
59%"
25,"ASTROBOY99
#NA1",challenger,"1,380",471,"탈리야, 니달리, 다리우스","145승
118패
55%"
26,"Fudgecakey
#5811",challenger,"1,366",792,"암베사, 제이스, 퀸","149승
123패
55%"
27,"Kzykendy
#NA1",challenger,"1,353",814,"아지르, 아리, 가렌","292승
252패
54%"
28,"Denathor
#NA1",challenger,"1,350",566,"제이스, 오로라, 카밀","130승
94패
58%"
29,"STEPZ
#NA99",challenger,"1,347",198,"다이애나, 암베사, 바이","254승
218패
54%"
30,"Cozy
#0122",challenger,"1,347",400,"제이스, 아칼리, 카밀","136승
106패
56%"
31,"江多宝
#0409",challenger,"1,341",242,"비에고, 그레이브즈, 코르키","123승
94패
57%"
32,"kurfyou
#hamz",challenger,"1,320",143,"질리언, 징크스, 엘리스","252승
193패
57%"
33,"chaechae1
#lmao",challenger,"1,311",122,"렝가, 볼리베어, 니달리","124승
71패
64%"
34,"Yuuji
#247",challenger,"1,301",408,"암베사, 바이, 엘리스","117승
82패
59%"
35,"Dusk to Dawn
#god",challenger,"1,292",122,"신드라, 소나, 세라핀","206승
180패
53%"
36,"搞事就报警把你妈妈捉走
#2694",challenger,"1,278",223,"빅토르, 오리아나, 나르","160승
110패
59%"
37,"그어살
#777",challenger,"1,269",146,"비에고, 니달리, 킨드레드","118승
68패
63%"
38,"tytytytyh
#hty",challenger,"1,267",627,"제이스, 사일러스, 크산테","245승
209패
54%"
39,"Z5 Keii
#606",challenger,"1,262",355,"가렌, 잭스, 암베사","322승
306패
51%"
40,"Cryogenn
#Tay",challenger,"1,249",842,"엘리스, 렐, 노틸러스","186승
154패
55%"
41,"Yozu
#Lux",challenger,"1,246",882,"럭스, 멜, 흐웨이","111승
81패
58%"
42,"philip
#ouo",challenger,"1,242",683,"리 신, 제이스, 판테온","198승
173패
53%"
43,"InoriB
#2005",challenger,"1,234",263,"애쉬, 바루스, 코르키","183승
159패
54%"
44,"quante
#urgot",challenger,"1,226",219,"우르곳, 가렌, 문도 박사","276승
254패
52%"
45,"Shimmer
#NA1",challenger,"1,222",863,"판테온, 워윅, 다리우스","145승
104패
58%"
46,"Nikkone
#NA1",challenger,"1,220",812,"피들스틱, 헤카림, 블라디미르","123승
99패
55%"
47,"gg wtf
#neeko",challenger,"1,219",588,"니코, 베인, 말파이트","123승
78패
61%"
48,"HLE PEANUT
#0216",challenger,"1,219",117,"니달리, 그레이브즈, 헤카림","199승
171패
54%"
49,"Humble Servant
#God",challenger,"1,213",937,"아크샨, 스웨인, 그라가스","181승
138패
57%"
50,"RoseThorn
#Rose",challenger,"1,210",773,"볼리베어, 바이, 엘리스","100승
67패
60%"
51,"AD King
#LYON",challenger,"1,210",63,"애쉬, 이즈리얼, 카이사","216승
151패
59%"
52,"caomeieeer
#NA1",challenger,"1,208",429,"오로라, 탈리야, 암베사","150승
123패
55%"
53,"Laugh Tale
#9999",challenger,"1,202",472,"제이스, 이즈리얼, 오리아나","200승
179패
53%"
54,"Minuilol
#NA1",challenger,"1,200",389,"빅토르, 카이사, 이즈리얼","117승
80패
59%"
55,"Spica
#001",challenger,"1,191",451,"판테온, 킨드레드, 릴리아","163승
126패
56%"
56,"Eclipse
#NA 1",challenger,"1,190",845,"암베사, 크산테, 이렐리아","105승
76패
58%"
57,"Pobelter
#NA1",challenger,"1,190",851,"빅토르, 라이즈, 제이스","203승
172패
54%"
58,"superman
#yone",challenger,"1,190",213,"암베사, 제이스, 레넥톤","107승
71패
60%"
59,"ZEZE ZAZA XOOO
#anna",challenger,"1,177","1,039","진, 이즈리얼, 카르마","124승
93패
57%"
60,"Hiccup1357
#duck",challenger,"1,175",916,"룰루, 나미, 카르마","304승
275패
53%"
61,"TrickyMagics
#NA1",challenger,"1,175",622,"나미, 잔나, 룰루","134승
96패
58%"
62,"light my fire
#1967",challenger,"1,175",119,"드레이븐, 트위치, 제이스","134승
104패
56%"
63,"Kai
#Saens",challenger,"1,174",743,"제이스, 엘리스, 판테온","135승
109패
55%"
64,"yangus Beef
#NA1",challenger,"1,170",749,"우르곳, 베이가, 코그모","208승
185패
53%"
65,"Dhokla
#NA1",challenger,"1,163",883,"가렌, 제이스, 암베사","418승
387패
52%"
66,"Breezyyy
#NA1",challenger,"1,155","1,241","렐, 알리스타, 노틸러스","183승
166패
52%"
67,"Koggle
#mania",challenger,"1,143","1,103","트리스타나, 코그모, 미스 포츈","125승
88패
59%"
68,"Doublelift
#NA01",challenger,"1,142",637,"징크스, 진, 트위치","166승
147패
53%"
69,"Isles
#000",challenger,"1,142",244,"렐, 뽀삐, 엘리스","162승
136패
54%"
70,"REDGOD
#GGWP",challenger,"1,140",411,"코르키, 트리스타나, 스몰더","161승
121패
57%"
71,"Shogo
#Shog",challenger,"1,139",687,"코르키, 칼리스타, 징크스","158승
134패
54%"
72,"TNIAS
#LYON",challenger,"1,134",56,"제이스, 사일러스, 리 신","159승
95패
63%"
73,"Siroinai
#KR2",challenger,"1,119",369,"라이즈, 제이스, 이렐리아","232승
213패
52%"
74,"Betão
#bbbbb",challenger,"1,118",936,"카밀, 볼리베어, 암베사","181승
134패
57%"
75,"Alcalamity
#NA1",challenger,"1,116","1,044","오른, 쓰레쉬, 마오카이","198승
171패
54%"
76,"twtvTempest
#777",challenger,"1,114",638,"요네, 야스오, 애니비아","150승
116패
56%"
77,"LikeAMaws
#NA1",challenger,"1,112",594,"빅토르, 흐웨이, 탈리야","109승
83패
57%"
78,"Azrael
#NA3",challenger,"1,107",73,"소나, 블라디미르, 잔나","155승
111패
58%"
79,"Z Score
#1500",challenger,"1,102","1,023","바드, 카르마, 자이라","226승
204패
53%"
80,"Inari
#xxx",challenger,"1,102",820,"잔나, 소나, 나미","228승
193패
54%"
81,"Yuno Gasai
#2016",challenger,"1,102",741,"에코, 제이스, 가렌","134승
112패
54%"
82,"BookiLol
#OP1",challenger,"1,101",438,"스카너, 판테온, 자르반 4세","97승
65패
60%"
83,"MySwordCrimson
#2006",challenger,"1,098","1,035","암베사, 레넥톤, 제이스","155승
134패
54%"
84,"array
#1128",challenger,"1,096",422,"이즈리얼, 코르키, 진","128승
108패
54%"
85,"FUE Devost
#FUEGO",challenger,"1,092",281,"크산테, 제이스, 아칼리","258승
239패
52%"
86,"5tunt
#NA1",challenger,"1,084",657,"세나, 나미, 엘리스","146승
124패
54%"
87,"WAR Enthralled
#ADC",challenger,"1,082",631,"베인, 미스 포츈, 멜","158승
118패
57%"
88,"Cinnamon Bread
#buns",challenger,"1,078",910,"제이스, 오로라, 코르키","125승
100패
56%"
89,"I am Súnlight
#NA1",challenger,"1,076","1,008","문도 박사, 가렌, 다리우스","124승
105패
54%"
90,"Zasuo Yi
#NA1",challenger,"1,076",427,"마스터 이, 케일, 베인","196승
158패
55%"
91,"강아지
#2171",challenger,"1,076",251,"코르키, 징크스, 트리스타나","165승
137패
55%"
92,"BR Lord Semi
#NA1",challenger,"1,074",171,"람머스, 자르반 4세, 그레이브즈","145승
96패
60%"
93,"弛弛的狗
#xey",challenger,"1,068",680,"워윅, 피들스틱, 판테온","150승
109패
58%"
94,"Ariendel
#NA1",challenger,"1,066",914,"아우렐리온 솔, 갈리오, 코르키","132승
111패
54%"
95,"Theatrics
#NA11",challenger,"1,064",887,"카직스, 킨드레드, 케인","204승
173패
54%"
96,"ALEX HO
#NA1",challenger,"1,063",392,"피들스틱, 람머스, 아무무","177승
141패
56%"
97,"lunacia
#555",challenger,"1,061","1,094","암베사, 카밀, 잭스","160승
138패
54%"
98,"TTV INFERNODAN
#drew",challenger,"1,060",662,"세나, 마오카이, 렐","271승
244패
53%"
99,"Sword
#MISHL",challenger,"1,053",595,"흐웨이, 르블랑, 아리","98승
71패
58%"
100,"Komari
#TTV",challenger,"1,051",910,"야스오, 요네, 아크샨","179승
157패
53%"
101,"Yaseen
#Yeji",challenger,"1,050",127,"렐, 레오나, 바드","112승
76패
60%"
102,"Ninkey
#NA1",challenger,"1,050",395,"그웬, 요네, 이블린","280승
242패
54%"
103,"Wx JmEkko
#PWDL",challenger,"1,049",564,"에코, 자르반 4세, 오공","101승
74패
58%"
104,"Plastic Memories
#Smile",challenger,"1,045","1,041","리산드라, 사일러스, 노틸러스","164승
139패
54%"
105,"I AM MUTE DEAFEN
#0Comm",challenger,"1,045",673,"파이크, 엘리스, 카르마","135승
111패
55%"
106,"Virtuosa
#arkni",challenger,"1,043",282,"니코, 세나, 렐","279승
256패
52%"
107,"in a daze
#nahz",challenger,"1,040",452,"야스오, 요네, 제드","125승
92패
58%"
108,"Mental Clarity
#Shen",challenger,"1,040","1,224","쉔, 세트, 레넥톤","175승
148패
54%"
109,"Aliplane
#F15YO",challenger,"1,034","1,330","바루스, 카이사, 알리스타","267승
223패
54%"
110,"Tactical0
#NA1",challenger,"1,033",393,"코르키, 이즈리얼, 애쉬","77승
50패
61%"
111,"MUSTACHEmanFIGHT
#APA",challenger,"1,032",380,"아지르, 요네, 오로라","142승
118패
55%"
112,"c2 meteos
#NA1",challenger,"1,030",788,"리븐, 제이스, 퀸","104승
59패
64%"
113,"훈초 헤카림
#정글차이",challenger,"1,029",192,"헤카림, 나피리, 제리","110승
70패
61%"
114,"Evrot
#JO146",challenger,"1,029",216,"조이, 르블랑, 신드라","150승
125패
55%"
115,"i love priscilla
#十bork",challenger,"1,026",221,"아지르, 탈리야, 파이크","139승
113패
55%"
116,"bradleyyy
#0002",challenger,"1,024",806,"이렐리아, 아지르, 신드라","126승
95패
57%"
117,"bonerofman51
#9313",challenger,"1,024",59,"스웨인, 카서스, 레오나","175승
110패
61%"
118,"Mel Sword
#ZXD",challenger,"1,022",85,"트린다미어, 헤카림, 카밀","162승
116패
58%"
119,"Ty G
#Teemo",challenger,"1,017","1,151","티모, 케일, 제드","358승
341패
51%"
120,"Tempest
#NA20",challenger,"1,015",88,"요네, 야스오, 빅토르","117승
61패
66%"
121,"Pentaless
#NA1",challenger,"1,015",374,"누누와 윌럼프, 마오카이, 다리우스","89승
66패
57%"
122,"TL Honda CoreJJ
#1123",challenger,"1,014",612,"엘리스, 판테온, 뽀삐","126승
105패
55%"
123,"Hardrain
#999",challenger,"1,013",664,"갈리오, 모데카이저, 스웨인","219승
186패
54%"
124,"zzz
#Nik",challenger,"1,013",962,"퀸, 트위치, 코르키","219승
190패
54%"
125,"박다영
#부회장1",challenger,"1,013",604,"오로라, 제드, 르블랑","150승
126패
54%"
126,"Sukuna
#Ankou",challenger,"1,013",74,"렝가, 녹턴, 이블린","214승
183패
54%"
127,"HAPPYMEAL444
#PRIME",challenger,"1,013",615,"샤코, 카직스, 다이애나","139승
91패
60%"
128,"TinFoilSlayer
#NA1",challenger,"1,011",943,"신드라, 아리, 카르마","99승
70패
59%"
129,"chaoyanguzi
#NA1",challenger,"1,011",344,"아펠리오스, 징크스, 이즈리얼","408승
389패
51%"
130,"franco
#6879",challenger,"1,010",687,"바루스, 세라핀, 닐라","166승
129패
56%"
131,"Chair1
#Seat",challenger,"1,007",307,"판테온, 스카너, 그라가스","156승
122패
56%"
132,"Swordblue
#1345",challenger,"1,007",873,"쓰레쉬, 잔나, 카르마","120승
84패
59%"
133,"Mahiru Shiina
#LCS",challenger,"1,007",98,"판테온, 렝가, 오공","348승
298패
54%"
134,"Verdict
#9108",challenger,"1,007",862,"우디르, 자르반 4세, 스카너","119승
100패
54%"
135,"屁桃猴
#555",challenger,"1,006",378,"렐, 노틸러스, 라칸","172승
143패
55%"
136,"goblin town
#001",challenger,"1,005","1,018","바이, 그레이브즈, 릴리아","296승
274패
52%"
137,"Meguitan
#demon",challenger,"1,005",135,"다이애나, 벨베스, 비에고","167승
137패
55%"
138,"JustAChillZilean
#ZIl",challenger,"1,005",112,"질리언, 브라움, 렐","316승
245패
56%"
139,"dont give up
#love",challenger,"1,003",57,"이즈리얼, 제리, 코르키","154승
96패
62%"
140,"Lyg
#llyg",challenger,"1,003",282,"진, 이즈리얼, 아펠리오스","320승
294패
52%"
141,"ttv Skyward
#riel",challenger,"1,003",942,"카서스, 흐웨이, 럭스","122승
91패
57%"
142,"Simiy15
#NA1",challenger,"1,002",498,"알리스타, 렐, 룰루","177승
142패
55%"
143,"let her leave
#mars",challenger,"1,002",94,"키아나, 조이, 사일러스","192승
129패
60%"
144,"Sheherher
#클로버",challenger,"1,000",813,"미스 포츈, 이즈리얼, 아펠리오스","124승
94패
57%"
145,"Samikin
#uwu",challenger,"1,000",833,"조이, 미스 포츈, 흐웨이","114승
92패
55%"
146,"Qitong
#2002",challenger,"1,000",866,"카르마, 잔나, 소라카","100승
78패
56%"
147,"lyhea
#NA1",challenger,997,"1,014","갈리오, 아리, 사일러스","147승
125패
54%"
148,"iuk
#kui",challenger,995,982,"코르키, 미스 포츈, 그레이브즈","155승
118패
57%"
149,"不过些许风霜罢了
#Miky",challenger,994,245,"비에고, 다이애나, 자르반 4세","154승
134패
53%"
150,"City of Tears
#NA2",challenger,992,154,"아크샨, 오로라, 멜","210승
195패
52%"
151,"Jauny
#2001",challenger,991,750,"제이스, 잭스, 나르","175승
152패
54%"
152,"Ashborn
#520",challenger,989,186,"탈리야, 요네, 빅토르","154승
126패
55%"
153,"Yabyinda
#lovie",challenger,987,780,"시비르, 스몰더, 케이틀린","207승
184패
53%"
154,"ANDOQS
#4444",challenger,981,643,"진, 멜, 이즈리얼","130승
106패
55%"
155,"ALLYOOOPS
#girl",challenger,973,126,"키아나, 사일러스, 카사딘","93승
55패
63%"
156,"Mobility
#NA2",challenger,971,659,"이즈리얼, 징크스, 바루스","128승
99패
56%"
157,"Nukezz
#supp",challenger,966,158,"렐, 노틸러스, 카르마","155승
124패
56%"
158,"RexQu
#NA1",challenger,961,635,"미스 포츈, 케이틀린, 말자하","152승
115패
57%"
159,"Lobunny
#666",challenger,960,"1,004","니코, 자이라, 소라카","211승
175패
55%"
160,"SALVA
#1031",challenger,959,538,"아지르, 라이즈, 럭스","370승
342패
52%"
161,"rogue
# xd",challenger,958,743,"세트, 레넥톤, 탈론","115승
92패
56%"
162,"mbsorrywpgjnice
#9945",challenger,953,165,"노틸러스, 렐, 바드","210승
177패
54%"
163,"Dragonminkim
#NA1",challenger,951,345,"나미, 노틸러스, 카르마","119승
80패
60%"
164,"Crimsonating
#NA1",challenger,950,645,"노틸러스, 레오나, 쓰레쉬","180승
165패
52%"
165,"SoLit
#NA1",challenger,949,121,"암베사, 잭스, 그웬","115승
82패
58%"
166,"HARAM ALBANIAN
#FEED",challenger,948,351,"케인, 비에고, 신 짜오","141승
115패
55%"
167,"an xi ba
#尔赛Zed",challenger,947,513,"제드, 럼블, 말파이트","147승
124패
54%"
168,"Xoinsin
#001",challenger,946,729,"헤카림, 노틸러스, 에코","157승
130패
55%"
169,"RubyBot
#Lei",challenger,946,723,"니달리, 벡스, 키아나","85승
32패
73%"
170,"JaycePlayerNoMom
#Nana",challenger,944,625,"케인, 다이애나, 탈론","126승
102패
55%"
171,"keanu
#anaxa",challenger,940,833,"멜, 럭스, 세라핀","145승
118패
55%"
172,"Alexis
#wow",challenger,939,899,"제이스, 암베사, 크산테","193승
173패
53%"
173,"Music
#NA2",challenger,937,205,"비에고, 바이, 니달리","85승
60패
59%"
174,"asap nocky
#NA1",challenger,937,483,녹턴,"202승
187패
52%"
175,"soonchang
#123",challenger,936,779,"이즈리얼, 미스 포츈, 애쉬","119승
78패
60%"
176,"PoopSwag69
#l33t",challenger,935,"1,225","야스오, 요네, 가렌","288승
270패
52%"
177,"trust me
#909",challenger,933,947,"니달리, 비에고, 그레이브즈","88승
57패
61%"
178,"SτΨαi
#STR",challenger,929,524,"암베사, 아트록스, 럼블","186승
158패
54%"
179,"Daption
#TwTv",challenger,927,974,"진, 카이사, 애쉬","246승
225패
52%"
180,"PhyMini
#NA1",challenger,925,405,"요네, 빅토르, 코르키","145승
132패
52%"
181,"ENTHRALLED
#999",challenger,918,766,"베인, 멜, 카이사","94승
61패
61%"
182,"shochi
#001",challenger,917,591,"제드, 아지르, 멜","170승
142패
54%"
183,"先打我队友 他有医保
#别打我",challenger,916,"1,283","신 짜오, 그레이브즈, 그웬","170승
143패
54%"
184,"Trisend
#NA1",challenger,916,262,"신드라, 라이즈, 벡스","142승
101패
58%"
185,"Zelt
#NA1",challenger,912,391,"빅토르, 갈리오, 오로라","150승
112패
57%"
186,"ChúpéGùa
#204",challenger,912,392,"람머스, 아무무, 럭스","143승
124패
54%"
187,"Tenacity
#CN1",challenger,911,472,"암베사, 아트록스, 제이스","89승
54패
62%"
188,"Thanatoes
#kr2",challenger,911,102,"제이스, 암베사, 크산테","101승
73패
58%"
189,"billie
#angel",challenger,910,"1,273","잔나, 룰루, 카르마","205승
174패
54%"
190,"young
#0000",challenger,909,633,"아칼리, 요네, 신드라","102승
83패
55%"
191,"We Met On Grindr
#NA1",challenger,908,195,"아지르, 멜, 나미","134승
107패
56%"
192,"Djangoat
#NA1",challenger,907,710,"리 신, 비에고, 벨베스","153승
114패
57%"
193,"Tomo
#0999",challenger,906,"1,189","이즈리얼, 코르키, 애쉬","141승
112패
56%"
194,"Ahj
#YONE",challenger,906,"1,039","요네, 아지르, 아리","248승
234패
51%"
195,"Protos
#Colin",challenger,904,"1,072","엘리스, 판테온, 세나","170승
147패
54%"
196,"akn
#Ex6",challenger,903,"1,103","소라카, 잔나, 럭스","94승
76패
55%"
197,"goku chan
#2308",challenger,903,427,"요네, 탈리야, 빅토르","81승
48패
63%"
198,"huanxiang
#0001",challenger,903,238,"루시안, 브라움, 룰루","141승
107패
57%"
199,"Shields on CD
#NA1",challenger,902,115,"세라핀, 룰루, 나미","160승
114패
58%"
200,"Bootyslapper
#420",challenger,900,678,"리 신, 올라프, 알리스타","249승
218패
53%"
201,"Ember
#RCU",challenger,896,109,"암베사, 레넥톤, 크산테","145승
132패
52%"
202,"Icy
#0499",challenger,896,327,"빅토르, 블라디미르, 초가스","262승
245패
52%"
203,"抖音薇信tonytoppwd
#pwdd",challenger,894,655,"잭스, 피오라, 제이스","186승
167패
53%"
204,"MisterDarcy
#NA69",challenger,893,64,"자크, 헤카림, 카직스","136승
94패
59%"
205,"Karasmai Kayn
#NA1",challenger,892,730,"케인, 카르마, 리 신","154승
135패
53%"
206,"xzh
#0402",challenger,891,441,"빅토르, 제이스, 갈리오","159승
147패
52%"
207,"鲑鱼子
#ono",challenger,889,412,"비에고, 유미, 케인","116승
72패
62%"
208,"woolala
#NA1",challenger,889,365,"레넥톤, 아트록스, 오른","126승
92패
58%"
209,"Tokibuny
#ttv",challenger,888,145,"오로라, 아칼리, 탈론","120승
99패
55%"
210,"Minui
#NA1",challenger,882,932,"판테온, 레오나, 탐 켄치","109승
88패
55%"
211,"qad
#NA1",challenger,881,555,"세나, 미스 포츈, 소나","177승
152패
54%"
212,"Yamikaze
#123",challenger,879,541,"탈론, 다이애나, 누누와 윌럼프","170승
147패
54%"
213,"Rapo
#3205",challenger,879,380,"뽀삐, 카르마, 바드","196승
163패
55%"
214,"MightofAtlas
#NA1",challenger,878,726,"다이애나, 비에고, 노틸러스","124승
98패
56%"
215,"VX qingwanouo
#NA2",challenger,878,174,"애니비아, 비에고, 케인","206승
164패
56%"
216,"Laceration
#Zed",challenger,877,"1,012","제드, 말자하, 오른","105승
74패
59%"
217,"FinleyFionaBabli
#NA1",challenger,876,460,"비에고, 진, 리 신","110승
71패
61%"
218,"Repobah
#mai",challenger,875,818,"비에고, 니달리, 킨드레드","70승
37패
65%"
219,"KingClueless
#NA1",challenger,873,648,"헤카림, 니달리, 비에고","140승
117패
54%"
220,"Ostrich
#lol",challenger,873,512,"루시안, 스웨인, 질리언","131승
110패
54%"
221,"big dacko
#NA1",challenger,872,815,"코르키, 미스 포츈, 이즈리얼","87승
66패
57%"
222,"tian yi nan wei
#NA1",challenger,872,658,"베이가, 블라디미르, 초가스","173승
130패
57%"
223,"LightNReset
#NA1",challenger,871,644,"잔나, 멜, 럭스","225승
206패
52%"
224,"Flame
#xdd",challenger,871,764,"흐웨이, 루시안, 판테온","128승
103패
55%"
225,"sweeho
#999",challenger,871,276,"이렐리아, 요네, 오로라","164승
144패
53%"
226,"last goodbye
#ttyl",challenger,870,889,"트리스타나, 드레이븐, 애쉬","120승
107패
53%"
227,"Aspen
#mott",challenger,870,134,"바드, 카르마, 노틸러스","144승
118패
55%"
228,"Kerfa
#666",challenger,869,413,"제드, 신 짜오, 다이애나","210승
175패
55%"
229,"fuwa
#006",challenger,867,142,"다이애나, 키아나, 럼블","132승
105패
56%"
230,"Xuuka
#1711",challenger,866,"1,325","노틸러스, 룰루, 카르마","216승
199패
52%"
231,"Omi
#Brooo",challenger,866,288,"이즈리얼, 트리스타나, 칼리스타","122승
90패
58%"
232,"Sora
#CAD",challenger,865,"1,021","멜, 갈리오, 흐웨이","191승
163패
54%"
233,"Berik
#fish",challenger,864,835,"탈론, 비에고, 암베사","74승
51패
59%"
234,"garbocan
#ivern",challenger,864,936,"아이번, 자르반 4세, 카이사","257승
232패
53%"
235,"Levitate
#1v9",challenger,863,615,"이즈리얼, 코르키, 스몰더","250승
224패
53%"
236,"7Wylly7
#NA1",challenger,861,649,"갱플랭크, 말파이트, 트위스티드 페이트","194승
166패
54%"
237,"Retrozing
#LCS",challenger,861,263,"갈리오, 그라가스, 사일러스","167승
138패
55%"
238,"LowTierGod
#Drone",challenger,860,66,"잭스, 나서스, 초가스","193승
122패
61%"
239,"我为娜娜上王者
#eryue",challenger,857,536,"키아나, 빅토르, 요네","194승
153패
56%"
240,"HUNCHO HECAKING
#lynn",challenger,857,226,"헤카림, 그웬, 판테온","154승
127패
55%"
241,"A Frozen Titan
#NA1",challenger,856,907,"사일러스, 신드라, 아지르","64승
42패
60%"
242,"Evanlai
#goma",challenger,855,166,"우르곳, 렝가, 소나","95승
66패
59%"
243,"Quantum
#uwu",challenger,854,"1,425","다이애나, 벡스, 나피리","294승
272패
52%"
244,"sigyetaeyeob
#ori",challenger,854,383,"룰루, 오리아나, 나미","91승
60패
60%"
245,"YZN
#JGDIF",challenger,853,179,"벨베스, 그레이브즈, 다이애나","214승
176패
55%"
246,"foggedftw2
#NA1",challenger,850,442,"트린다미어, 암베사, 카직스","126승
107패
54%"
247,"Kelpo
#NA2",challenger,849,573,"아크샨, 소라카, 파이크","66승
44패
60%"
248,"Lilpistol
#thicc",challenger,848,685,"비에고, 탈리야, 잭스","159승
136패
54%"
249,"Principal
#kat",challenger,848,"1,022","카타리나, 제리, 이즈리얼","136승
121패
53%"
250,"Neeko No Crush
#99999",challenger,848,89,"니코, 요네, 사일러스","213승
178패
54%"
251,"Kirby Iover
#NA1",challenger,847,513,"제이스, 블라디미르, 가렌","121승
99패
55%"
252,"Fiji
#Zone",challenger,847,896,"사이온, 우디르, 크산테","66승
36패
65%"
253,"Spankers
#CN1",challenger,846,370,"노틸러스, 판테온, 카르마","124승
95패
57%"
254,"yomama0117
#NA1",challenger,845,"1,193","징크스, 트위치, 시비르","174승
155패
53%"
255,"xky
#uuu",challenger,845,516,"케인, 다이애나, 탈론","136승
112패
55%"
256,"struggler
#heed",challenger,845,332,"리산드라, 흐웨이, 요네","150승
135패
53%"
257,"stayinit
#2009",challenger,844,188,"암베사, 엘리스, 조이","149승
130패
53%"
258,"Freikugel
#devil",challenger,843,63,"다리우스, 그레이브즈, 신 짜오","174승
108패
62%"
259,"Sasiki
#ran",challenger,841,"1,085","잔나, 노틸러스, 카이사","213승
197패
52%"
260,"bayonetta
#heals",challenger,841,208,"나미, 카르마, 잔나","154승
131패
54%"
261,"Busio JNG
#NA1",challenger,841,175,"엘리스, 파이크, 뽀삐","131승
96패
58%"
262,"TheSlamboy
#GOAT",challenger,840,965,"코르키, 크산테, 제이스","292승
266패
52%"
263,"2 A
#AAH",challenger,839,690,"리 신, 문도 박사, 킨드레드","96승
73패
57%"
264,"是小悠的啦
#uwu",challenger,839,113,"제리, 카이사, 트리스타나","90승
54패
63%"
265,"CaptBear
#NA1",challenger,838,764,클레드,"109승
93패
54%"
266,"SOLOKILLKING
#ZAKO",challenger,838,58,"제이스, 사일러스, 요네","131승
68패
66%"
267,"barlo
#001",challenger,838,691,"카르마, 세나, 카밀","187승
158패
54%"
268,"Werry
#NA1",challenger,837,531,"파이크, 쓰레쉬, 바드","211승
192패
52%"
269,"links
#5757",challenger,837,522,"자이라, 칼리스타, 아펠리오스","83승
72패
54%"
270,"flowers
#bpd",challenger,837,543,"리산드라, 킨드레드, 그웬","129승
107패
55%"
271,"BlaiQuistie
#6043",challenger,836,96,"우르곳, 가렌, 말파이트","212승
190패
53%"
272,"Paradise City
#YNO",challenger,836,57,"카직스, 그라가스, 블리츠크랭크","88승
41패
68%"
273,"Nightstar x Lia
#CN1",challenger,835,"1,224","코르키, 징크스, 바루스","184승
169패
52%"
274,"Doji
#0816",challenger,835,"1,446","제리, 사미라, 코르키","237승
206패
53%"
275,"Bug
#Feet",challenger,835,132,"오공, 아무무, 다이애나","210승
101패
68%"
276,"Dun
#NA1",challenger,834,474,"빅토르, 멜, 사일러스","129승
110패
54%"
277,"Haxorr TTV
#HAXOR",challenger,834,690,"잭스, 피오라, 문도 박사","241승
228패
51%"
278,"普通朋友
#ncge",challenger,833,704,"오로라, 제이스, 요네","213승
189패
53%"
